ID,fault,strike,dip,nx,ny,nz
24255,EW1,90.0,90.0,0.0,1.0,0.0
24256,EW1,90.0,90.0,0.0,1.0,0.0
24257,EW1,90.0,90.0,0.0,1.0,0.0
24258,EW1,90.0,90.0,0.0,1.0,0.0
24259,EW1,90.0,90.0,0.0,1.0,0.0
24260,EW1,90.0,90.0,0.0,1.0,0.0
24261,EW1,90.0,90.0,0.0,1.0,0.0
24262,EW1,90.0,90.0,0.0,1.0,0.0
24263,EW1,90.0,90.0,0.0,1.0,0.0
24264,EW1,90.0,90.0,0.0,1.0,0.0
24265,EW1,90.0,90.0,0.0,1.0,0.0
24266,EW1,90.0,90.0,0.0,1.0,0.0
24267,EW1,90.0,90.0,0.0,1.0,0.0
24268,EW1,90.0,90.0,0.0,1.0,0.0
24269,EW1,90.0,90.0,0.0,1.0,0.0
24270,EW1,90.0,90.0,0.0,1.0,0.0
24271,EW1,90.0,90.0,0.0,1.0,0.0
24272,EW1,90.0,90.0,0.0,1.0,0.0
24273,EW1,90.0,90.0,0.0,1.0,0.0
24274,EW1,90.0,90.0,0.0,1.0,0.0
24275,EW1,90.0,90.0,0.0,1.0,0.0
24276,EW1,90.0,90.0,0.0,1.0,0.0
24277,EW1,90.0,90.0,0.0,1.0,0.0
24278,EW1,90.0,90.0,0.0,1.0,0.0
24279,EW1,90.0,90.0,0.0,1.0,0.0
24280,EW1,90.0,90.0,0.0,1.0,0.0
24281,EW1,90.0,90.0,0.0,1.0,0.0
24282,EW1,90.0,90.0,0.0,1.0,0.0
24283,EW1,90.0,90.0,0.0,1.0,0.0
24284,EW1,90.0,90.0,0.0,1.0,0.0
24285,EW1,90.0,90.0,0.0,1.0,0.0
24286,EW1,90.0,90.0,0.0,1.0,0.0
24287,EW1,90.0,90.0,0.0,1.0,0.0
24288,EW1,90.0,90.0,0.0,1.0,0.0
24289,EW1,90.0,90.0,0.0,1.0,0.0
24290,EW1,90.0,90.0,0.0,1.0,0.0
24291,EW1,90.0,90.0,0.0,1.0,0.0
24292,EW1,90.0,90.0,0.0,1.0,0.0
24293,EW1,90.0,90.0,0.0,1.0,0.0
24294,EW1,90.0,90.0,0.0,1.0,0.0
24295,EW1,90.0,90.0,0.0,1.0,0.0
24296,EW1,90.0,90.0,0.0,1.0,0.0
24297,EW1,90.0,90.0,0.0,1.0,0.0
24298,EW1,90.0,90.0,0.0,1.0,0.0
24299,EW1,90.0,90.0,0.0,1.0,0.0
24300,EW1,90.0,90.0,0.0,1.0,0.0
24301,EW1,90.0,90.0,0.0,1.0,0.0
24302,EW1,90.0,90.0,0.0,1.0,0.0
24303,EW1,90.0,90.0,0.0,1.0,0.0
24304,EW1,90.0,90.0,0.0,1.0,0.0
24305,EW1,90.0,90.0,0.0,1.0,0.0
24306,EW1,90.0,90.0,0.0,1.0,0.0
24307,EW1,90.0,90.0,0.0,1.0,0.0
24308,EW1,90.0,90.0,0.0,1.0,0.0
24309,EW1,90.0,90.0,0.0,1.0,0.0
24310,EW1,90.0,90.0,0.0,1.0,0.0
24311,EW1,90.0,90.0,0.0,1.0,0.0
24312,EW1,90.0,90.0,0.0,1.0,0.0
24313,EW1,90.0,90.0,0.0,1.0,0.0
24314,EW1,90.0,90.0,0.0,1.0,0.0
24315,EW1,90.0,90.0,0.0,1.0,0.0
24316,EW1,90.0,90.0,0.0,1.0,0.0
24317,EW1,90.0,90.0,0.0,1.0,0.0
24318,EW1,90.0,90.0,0.0,1.0,0.0
24319,EW1,90.0,90.0,0.0,1.0,0.0
31825,EW1,90.0,90.0,0.0,1.0,0.0
31826,EW1,90.0,90.0,0.0,1.0,0.0
31827,EW1,90.0,90.0,0.0,1.0,0.0
31828,EW1,90.0,90.0,0.0,1.0,0.0
31829,EW1,90.0,90.0,0.0,1.0,0.0
31830,EW1,90.0,90.0,0.0,1.0,0.0
31831,EW1,90.0,90.0,0.0,1.0,0.0
31832,EW1,90.0,90.0,0.0,1.0,0.0
31833,EW1,90.0,90.0,0.0,1.0,0.0
31834,EW1,90.0,90.0,0.0,1.0,0.0
31835,EW1,90.0,90.0,0.0,1.0,0.0
31836,EW1,90.0,90.0,0.0,1.0,0.0
31837,EW1,90.0,90.0,0.0,1.0,0.0
31838,EW1,90.0,90.0,0.0,1.0,0.0
31839,EW1,90.0,90.0,0.0,1.0,0.0
31840,EW1,90.0,90.0,0.0,1.0,0.0
31841,EW1,90.0,90.0,0.0,1.0,0.0
31842,EW1,90.0,90.0,0.0,1.0,0.0
31843,EW1,90.0,90.0,0.0,1.0,0.0
31844,EW1,90.0,90.0,0.0,1.0,0.0
31845,EW1,90.0,90.0,0.0,1.0,0.0
31846,EW1,90.0,90.0,0.0,1.0,0.0
31847,EW1,90.0,90.0,0.0,1.0,0.0
31848,EW1,90.0,90.0,0.0,1.0,0.0
31849,EW1,90.0,90.0,0.0,1.0,0.0
31850,EW1,90.0,90.0,0.0,1.0,0.0
31851,EW1,90.0,90.0,0.0,1.0,0.0
31852,EW1,90.0,90.0,0.0,1.0,0.0
31853,EW1,90.0,90.0,0.0,1.0,0.0
31854,EW1,90.0,90.0,0.0,1.0,0.0
31855,EW1,90.0,90.0,0.0,1.0,0.0
31856,EW1,90.0,90.0,0.0,1.0,0.0
31857,EW1,90.0,90.0,0.0,1.0,0.0
31858,EW1,90.0,90.0,0.0,1.0,0.0
31859,EW1,90.0,90.0,0.0,1.0,0.0
31860,EW1,90.0,90.0,0.0,1.0,0.0
31861,EW1,90.0,90.0,0.0,1.0,0.0
31862,EW1,90.0,90.0,0.0,1.0,0.0
31863,EW1,90.0,90.0,0.0,1.0,0.0
31864,EW1,90.0,90.0,0.0,1.0,0.0
31865,EW1,90.0,90.0,0.0,1.0,0.0
31866,EW1,90.0,90.0,0.0,1.0,0.0
31867,EW1,90.0,90.0,0.0,1.0,0.0
31868,EW1,90.0,90.0,0.0,1.0,0.0
31869,EW1,90.0,90.0,0.0,1.0,0.0
31870,EW1,90.0,90.0,0.0,1.0,0.0
31871,EW1,90.0,90.0,0.0,1.0,0.0
31872,EW1,90.0,90.0,0.0,1.0,0.0
31873,EW1,90.0,90.0,0.0,1.0,0.0
31874,EW1,90.0,90.0,0.0,1.0,0.0
31875,EW1,90.0,90.0,0.0,1.0,0.0
31876,EW1,90.0,90.0,0.0,1.0,0.0
31877,EW1,90.0,90.0,0.0,1.0,0.0
31878,EW1,90.0,90.0,0.0,1.0,0.0
31879,EW1,90.0,90.0,0.0,1.0,0.0
31880,EW1,90.0,90.0,0.0,1.0,0.0
31881,EW1,90.0,90.0,0.0,1.0,0.0
31882,EW1,90.0,90.0,0.0,1.0,0.0
31883,EW1,90.0,90.0,0.0,1.0,0.0
31884,EW1,90.0,90.0,0.0,1.0,0.0
31885,EW1,90.0,90.0,0.0,1.0,0.0
31886,EW1,90.0,90.0,0.0,1.0,0.0
31887,EW1,90.0,90.0,0.0,1.0,0.0
31888,EW1,90.0,90.0,0.0,1.0,0.0
31889,EW1,90.0,90.0,0.0,1.0,0.0
31890,EW1,90.0,90.0,0.0,1.0,0.0
31891,EW1,90.0,90.0,0.0,1.0,0.0
31892,EW1,90.0,90.0,0.0,1.0,0.0
31893,EW1,90.0,90.0,0.0,1.0,0.0
31894,EW1,90.0,90.0,0.0,1.0,0.0
31895,EW1,90.0,90.0,0.0,1.0,0.0
31896,EW1,90.0,90.0,0.0,1.0,0.0
31897,EW1,90.0,90.0,0.0,1.0,0.0
31898,EW1,90.0,90.0,0.0,1.0,0.0
31899,EW1,90.0,90.0,0.0,1.0,0.0
31900,EW1,90.0,90.0,0.0,1.0,0.0
31901,EW1,90.0,90.0,0.0,1.0,0.0
31902,EW1,90.0,90.0,0.0,1.0,0.0
31903,EW1,90.0,90.0,0.0,1.0,0.0
31904,EW1,90.0,90.0,0.0,1.0,0.0
31905,EW1,90.0,90.0,0.0,1.0,0.0
31906,EW1,90.0,90.0,0.0,1.0,0.0
31907,EW1,90.0,90.0,0.0,1.0,0.0
31908,EW1,90.0,90.0,0.0,1.0,0.0
31909,EW1,90.0,90.0,0.0,1.0,0.0
31910,EW1,90.0,90.0,0.0,1.0,0.0
31911,EW1,90.0,90.0,0.0,1.0,0.0
31912,EW1,90.0,90.0,0.0,1.0,0.0
31913,EW1,90.0,90.0,0.0,1.0,0.0
31914,EW1,90.0,90.0,0.0,1.0,0.0
31915,EW1,90.0,90.0,0.0,1.0,0.0
31916,EW1,90.0,90.0,0.0,1.0,0.0
31917,EW1,90.0,90.0,0.0,1.0,0.0
31918,EW1,90.0,90.0,0.0,1.0,0.0
31919,EW1,90.0,90.0,0.0,1.0,0.0
39425,EW1,90.0,90.0,0.0,1.0,0.0
39426,EW1,90.0,90.0,0.0,1.0,0.0
39427,EW1,90.0,90.0,0.0,1.0,0.0
39428,EW1,90.0,90.0,0.0,1.0,0.0
39429,EW1,90.0,90.0,0.0,1.0,0.0
39430,EW1,90.0,90.0,0.0,1.0,0.0
39431,EW1,90.0,90.0,0.0,1.0,0.0
39432,EW1,90.0,90.0,0.0,1.0,0.0
39433,EW1,90.0,90.0,0.0,1.0,0.0
39434,EW1,90.0,90.0,0.0,1.0,0.0
39435,EW1,90.0,90.0,0.0,1.0,0.0
39436,EW1,90.0,90.0,0.0,1.0,0.0
39437,EW1,90.0,90.0,0.0,1.0,0.0
39438,EW1,90.0,90.0,0.0,1.0,0.0
39439,EW1,90.0,90.0,0.0,1.0,0.0
39440,EW1,90.0,90.0,0.0,1.0,0.0
39441,EW1,90.0,90.0,0.0,1.0,0.0
39442,EW1,90.0,90.0,0.0,1.0,0.0
39443,EW1,90.0,90.0,0.0,1.0,0.0
39444,EW1,90.0,90.0,0.0,1.0,0.0
39445,EW1,90.0,90.0,0.0,1.0,0.0
39446,EW1,90.0,90.0,0.0,1.0,0.0
39447,EW1,90.0,90.0,0.0,1.0,0.0
39448,EW1,90.0,90.0,0.0,1.0,0.0
39449,EW1,90.0,90.0,0.0,1.0,0.0
39450,EW1,90.0,90.0,0.0,1.0,0.0
39451,EW1,90.0,90.0,0.0,1.0,0.0
39452,EW1,90.0,90.0,0.0,1.0,0.0
39453,EW1,90.0,90.0,0.0,1.0,0.0
39454,EW1,90.0,90.0,0.0,1.0,0.0
39455,EW1,90.0,90.0,0.0,1.0,0.0
39456,EW1,90.0,90.0,0.0,1.0,0.0
39457,EW1,90.0,90.0,0.0,1.0,0.0
39458,EW1,90.0,90.0,0.0,1.0,0.0
39459,EW1,90.0,90.0,0.0,1.0,0.0
39460,EW1,90.0,90.0,0.0,1.0,0.0
39461,EW1,90.0,90.0,0.0,1.0,0.0
39462,EW1,90.0,90.0,0.0,1.0,0.0
39463,EW1,90.0,90.0,0.0,1.0,0.0
39464,EW1,90.0,90.0,0.0,1.0,0.0
